cluster_id,keyword,avg_tfidf,avg_bm25,llm_analysis
0,"best residential projects in kolkata by purti realty, best retail properties by purti realty kolkata, build to suit real estate india purti, invest in indian real estate nri purti, invest in real estate projects kolkata purti, nri buy property in kolkata purti realty, purti realty services for nri property investment",0.0009166324526372465,2.097719415028495,"Okay, let's analyze the relevance of each keyword to the provided content sample.

The content sample appears to be from various pages of the Purti Realty website, including sections like About Us, Community, Careers, Legacy, Awards, Invest With Us, NRI Purti Privilege, and pages potentially showcasing projects.

Here's the analysis for each keyword:

1.  **best residential projects in kolkata by purti realty:**
    *   **Relevance:** **High**.
    *   **Justification:**
        *   ""Purti Realty"" is the company name and appears throughout.
        *   ""Kolkata"" is mentioned multiple times as their primary area of operation (""Best Real Estate Company in Kolkata"", project locations like Maheshtala, Rajarhat, Hastings).
        *   ""Residential projects"" is explicitly mentioned (""Developer of the Year – Residential Real Estate"", ""Residential Complex Of The Year"", ""Residential Project (Villas)"", ""Residential Project (High End)""). There's a dedicated section titled ""Buy Luxurious Flats & Villas in Kolkata"" which lists several residential projects.
        *   ""Best"" is strongly implied and directly claimed through titles like ""Best Real Estate Company in Kolkata"", ""Most Popular Real estate Company in Kolkata"", and the numerous awards listed, many specifically for residential projects (""Villa Project Of The Year"", ""Residential Complex Of The Year"", etc.).

2.  **best retail properties by purti realty kolkata:**
    *   **Relevance:** **High**.
    *   **Justification:**
        *   ""Purti Realty"" and ""Kolkata"" are consistently present.
        *   ""Retail properties"" is covered by mentions of ""Retail"", ""retail real estate"", ""Purti Retail"", ""Find Your Space Retail"", and ""A Promising Retail Experience"".
        *   ""Best"" is implied by the overall claim of being a top/popular real estate company and the listing of awards (even if not specific *retail* property awards in this excerpt, general company accolades suggest quality across segments). ""A Promising Retail Experience"" also indicates a focus on quality in this segment.

3.  **build to suit real estate india purti:**
    *   **Relevance:** **High**.
    *   **Justification:**
        *   ""Purti"" is the company name.
        *   ""Real estate"" is a core topic.
        *   ""India"" is mentioned (""India’s institutional brands"", ""Real Estate sector of India"", ""Make in India story"").
        *   ""Build to Suit"" is explicitly listed and described as a service offering within the ""INVEST WITH US"" / ""Property Investment Company Kolkata"" section.

4.  **invest in indian real estate nri purti:**
    *   **Relevance:** **High**.
    *   **Justification:**
        *   ""Purti"" is the company name.
        *   ""Invest in real estate"" is directly addressed through the ""INVEST WITH US"" menu option and the section titled ""Property Investment Company Kolkata"" which discusses investment opportunities and various development/investment models.
        *   ""Indian real estate"" is discussed in the context of market growth and investment potential (""Real Estate sector of India"").
        *   ""NRI"" is a major focus. There's an ""NRI PURTI PRIVILEGE"" menu option and a large dedicated section titled ""nri - Purti"" which explicitly discusses ""Invest In Indian Real Estate"", regulations for NRIs buying property, payment methods, repatriation, and offers ""Hassle-free property buying backed by expert guidance"".

5.  **invest in real estate projects kolkata purti:**
    *   **Relevance:** **High**.
    *   **Justification:**
        *   ""Purti"", ""invest"", ""real estate"", and ""Kolkata"" are all present and central to the content.
        *   The ""INVEST WITH US"" section details ways to invest (Property Development, Joint Venture, etc.).
        *   Specific ""real estate projects"" (both residential and implied retail/office) are mentioned and listed, with locations like Kolkata mentioned.
        *   The general context is Purti Realty's operations primarily in Kolkata.

6.  **nri buy property in kolkata purti realty:**
    *   **Relevance:** **High**.
    *   **Justification:**
        *   ""Purti Realty"" and ""Kolkata"" are key identifiers present.
        *   ""NRI"" and ""buy property"" are explicitly addressed in the dedicated ""nri - Purti"" section. This section covers how NRIs can acquire/purchase immovable property, the permissions, documents, payment methods, etc.
        *   While the NRI section itself doesn't repeat ""in Kolkata"" constantly, the site's overall focus (titles like ""Best Real Estate Company in Kolkata"", project listings in Kolkata) makes it clear that the NRI services apply to their properties in Kolkata.

7.  **purti realty services for nri property investment:**
    *   **Relevance:** **High**.
    *   **Justification:**
        *   ""Purti Realty"" is the company.
        *   ""Services for NRI property investment"" is almost a direct description of the content in the ""nri - Purti"" section. This section details the process for NRIs, addresses regulations, payment, etc., providing the ""expert guidance and compliance"" that constitutes the ""services"". It's clearly aimed at facilitating property investment for NRIs.

**Conclusion:**

Based on the content provided, all the listed keywords show a **High** level of relevance. The content explicitly mentions or strongly implies all the key components of these keywords, covering residential, retail, build-to-suit, investment, NRI-specific information, the location (Kolkata/India), and the company name (Purti Realty). The website sample is well-aligned with the topics covered by these target keywords, especially through dedicated sections for NRI investors, investment opportunities, and listings of projects by type and location."
1,"buy retail shop in burrabazar kolkata, find ready retail shops shyambazar",0.0006941637115425289,0.9695996691999675,"Based on the provided content sample and the keywords:

*   **Keywords:** buy retail shop in burrabazar kolkata, find ready retail shops shyambazar
*   **Content Sample:** Various pages/sections about Purti Realty, a real estate company in Kolkata, covering About Us, Careers, Legacy, Awards, Invest With Us, NRI, Community, and specific project types (Homes, Office, Retail).

**Relevance Analysis:**

1.  **Relevance to ""Real Estate Company in Kolkata"":** **High.** The content clearly identifies Purti Realty as a major real estate developer in Kolkata, operating for many years, winning awards, and involved in various projects in the city (Hastings, Rajarhat, Maheshtala, Lake Town, Ballygunge).
2.  **Relevance to ""Retail Shops"" / ""Commercial Property"":** **Moderate to High.** The content explicitly mentions ""Retail"" multiple times. The navigation includes ""Find Your Space Retail"" and ""Purti Retail"". The ""Our Brands"" section highlights ""A Promising Retail Experience"". The MD's desk section states that Purti Realty has earned market trust in ""retail, and residential real estate"". Ankit Agarwal's profile mentions an entrepreneurial stint with a ""pure-play retail setup"". The ""Invest With Us"" section mentions ""commercial spaces"" in Kolkata as an investment opportunity. While ""shop"" isn't explicitly used, ""retail"" strongly implies commercial shop spaces.
3.  **Relevance to ""buy"" / ""find"" / ""ready"":** **Moderate.** The content is from a developer's site, implying properties are for sale (""buy""). The navigation uses ""Find Your Homes"", ""Find Your Office"", ""Find Your Space Retail"", addressing the ""find"" intent. The ""Purti Homes"" section mentions ""Ready to move-in"" projects, which aligns with the ""ready"" aspect, although this is shown for residential, not specifically retail, projects in the sample. The NRI section mentions ""Hassle-free property buying"".
4.  **Relevance to Specific Locations (""burrabazar kolkata"", ""shyambazar""):** **None.** The provided content sample *does not* mention ""Burrabazar"" or ""Shyambazar"" at all. It lists other Kolkata localities where Purti has projects, but these specific areas are absent.

**Conclusion on Keyword Relevance:**

The content is **partially relevant** to the keywords.

*   It aligns with the core topic of finding/buying retail/commercial property in Kolkata from a reputable developer.
*   However, it completely **lacks specificity regarding the crucial location components** (""Burrabazar"" and ""Shyambazar"").

For users searching for retail shops *specifically* in Burrabazar or Shyambazar, this page is unlikely to directly address their need because it doesn't mention properties in those precise areas. A website page highly relevant to these keywords would need to showcase specific retail properties available for purchase in Burrabazar and Shyambazar.

This content is more generic, introducing the company and its range of services/projects in Kolkata overall, including retail spaces, but without the detailed, location-specific inventory required to match these particular long-tail keywords effectively."
2,ready to move apartments in maheshtala,0.0006995450093024238,2.6326662386980115,"Based on the provided content sample, here is an analysis of its relevance to the keywords ""ready to move apartments in maheshtala"":

1.  **Relevance to ""Maheshtala"":**
    *   **High Relevance:** The location ""Maheshtala"" is explicitly mentioned multiple times in the content.
        *   It is listed as the location of one of Purti Realty's schools (""Narayana School in Maheshtala"").
        *   It is mentioned as the location of Purti Realty's first high-rise project in 2008.
        *   Crucially, it is listed as the location of a specific project under the ""Featured Projects"" section: ""Ready to move-in **Maheshtala**, Kolkata"".

2.  **Relevance to ""apartments"":**
    *   **Good Relevance (using synonyms/related terms):** While the exact word ""apartments"" is not used frequently, the content is clearly focused on residential real estate. It uses synonyms and related terms such as:
        *   ""Homes"" (e.g., ""Find Your Homes"", ""Purti Homes"", ""building their homes"").
        *   ""Flats"" (e.g., ""Buy Luxurious Flats & Villas in Kolkata"").
        *   ""residential property"" / ""residential real estate"" / ""residential projects"".
        *   The ""Ready to move-in Maheshtala"" listing appears under the ""Buy Luxurious Flats & Villas"" and ""Purti Homes"" sections, strongly implying that the offering is residential units like flats or apartments.

3.  **Relevance to ""ready to move"":**
    *   **High Relevance:** The phrase ""Ready to move-in"" is explicitly used in the content.
        *   Specifically, the listing for the project in Maheshtala is tagged as ""Ready to move-in"". This directly matches the ""ready to move"" part of the keyword phrase.
        *   Customer testimonials also mention timely possession, which supports the idea of delivering projects ready for occupancy.

**Overall Relevance Score:** High

**Analysis Summary:**

The provided content is highly relevant to the keyword phrase ""ready to move apartments in maheshtala"".

*   It explicitly names ""Maheshtala"" as a location where Purti Realty has developed projects, including their first high-rise and, most importantly, a currently listed ""Ready to move-in"" project.
*   It clearly indicates that Purti Realty deals in residential units, using terms like ""Flats"", ""Homes"", and ""residential property"".
*   It directly uses the term ""Ready to move-in"" in relation to a specific project in Maheshtala.

The content successfully addresses all components of the keyword phrase, making it highly relevant for a user searching for ready-to-move apartments in that specific location."
3,"buy office space in hastings kolkata, find office space kolkata purti",0.0007943331288547578,1.1796552013227297,"Okay, let's analyze the relevance of the keywords to the provided content sample.

**Keywords:**
1.  `buy office space in hastings kolkata`
2.  `find office space kolkata purti`

**Content Analysis:**

1.  **Brand Mention (`Purti`, `Purti Realty`):** The content mentions ""Purti"" and ""Purti Realty"" extensively throughout, as it is the company's website content. This is highly relevant to the `purti` part of the second keyword.
2.  **Location Mention (`Kolkata`):** ""Kolkata"" is mentioned frequently, often in the context of the company's location and projects (e.g., ""Best Real Estate Company in Kolkata"", ""Hastings, Kolkata"", ""Rajarhat, Kolkata"", etc.). This is highly relevant to the `kolkata` part of both keywords.
3.  **Location Mention (`Hastings`):** ""Hastings"" is mentioned several times.
    *   In navigation links (`Purti Flowers Hastings`, `Office Hasting Office Corporate`).
    *   In project mentions: `Residential Project - High End - The Economic Times Real Estate Awards 2024 (National Edition) Hastings, Kolkata Starting from 2.68 Cr`. This explicitly mentions a project called ""Purti Hastings"" located in Hastings, Kolkata.
4.  **Property Type Mention (`office space`, `office`):**
    *   The term ""office"" appears in navigation links (`Office Hasting Office Corporate`, `Find Your Homes Office`, `Purti Office`).
    *   The broader category of commercial/retail space is mentioned (`Find Your Space Retail`, `A Promising Retail Experience`).
    *   Under ""Invest With Us"", ""Property Development"" and ""Development Management"" are mentioned, which *could* include office space, but it's not specified.
    *   The project list focuses heavily on ""Purti Homes"" (residential), ""Retail"", ""Hospitality"", and includes ""Hastings, Kolkata"" listed *specifically* under ""Residential Project"".
5.  **Action/Intent Mention (`buy`, `find`):**
    *   ""buy"" is not explicitly used in terms of ""buy office space"". However, the overall context of a ""Real Estate Company"", ""INVEST WITH US"", and project listings implies buying/investing.
    *   ""find"" is used in navigation (`Find Your Homes`, `Find Your Homes Office`, `Find Your Space Retail`).

**Relevance Assessment:**

1.  **Keyword: `buy office space in hastings kolkata`**
    *   The content mentions ""Purti"" (the company operating), ""Kolkata"", and ""Hastings"". It even mentions a project called ""Purti Hastings"" in Kolkata.
    *   It mentions ""office"" as a category Purti deals with (via navigation links like ""Purti Office"", ""Find Your Homes Office"").
    *   **However, the content explicitly lists ""Hastings, Kolkata"" under ""Residential Project"".** There is no clear mention or listing of *office space* specifically located *in Hastings* that is available for purchase. The navigation link ""Office Hasting"" exists, but the detailed content does not support it being an active office project for sale/rent.
    *   **Relevance:** Moderate but potentially misleading. While many individual terms are present, the crucial combination of ""office space"" + ""Hastings"" + ""buy"" is *not* directly and clearly addressed. A user searching this would likely find the ""Purti Hastings"" residential project info, but not office space details.

2.  **Keyword: `find office space kolkata purti`**
    *   The content mentions ""Purti"", ""Kolkata"", and ""office"" (via navigation links like ""Purti Office"", ""Find Your Homes Office""). It indicates Purti Realty operates in Kolkata and deals with office spaces.
    *   The term ""find"" is used in navigation, aligning with the user's intent.
    *   **However, similar to the first keyword, the content lacks specific listings or details about *available* office spaces in Kolkata.** It confirms the company's overall offering includes office space but doesn't function as a directory or detail page for current office projects.
    *   **Relevance:** Moderate. It confirms that Purti Realty is a real estate company in Kolkata that offers office spaces, but it doesn't provide the specific information (listings, descriptions, etc.) a user would need to *find* or evaluate office space options. The content is more about the company's profile than specific property inventory for this category.

**Conclusion:**

The content is **partially relevant** to both keywords.

*   It successfully includes the brand (`Purti`) and the main location (`Kolkata`).
*   It mentions the specific location (`Hastings`) but links it to a *residential* project, not an office one in the primary content.
*   It mentions `office` as a category but does not provide specific details, listings, or project information about available office spaces in Kolkata or Hastings.

For better relevance and search performance for these keywords, the website content would ideally need:

*   A dedicated section or page detailing Purti's office projects in Kolkata.
*   Clear information on whether office spaces are available for ""buy"" or ""rent"".
*   Specific listings or descriptions of office properties, including details like location (explicitly mentioning Hastings if applicable), size, price/rent, and features.
*   If ""Purti Hastings"" is purely residential, the site should be careful not to imply it has office space (unless the ""Office Hasting"" navigation refers to a different, unlisted project)."
4,vaastu compliant homes in kolkata purti,0.0007915766793757244,1.1746886866915538,"Based on the provided content sample and the keyword phrase ""vaastu compliant homes in kolkata purti"", here is an analysis of the relevance:

1.  **""Purti""**: The content is highly relevant to this part of the keyword. The entire sample is about ""Purti Realty"" and its activities. The name ""Purti"" appears numerous times throughout the text.

2.  **""Kolkata""**: The content is highly relevant to this part of the keyword. The text explicitly mentions ""Kolkata"" multiple times as the location where Purti Realty operates and has projects. Phrases like ""Best Real Estate Company in Kolkata"", mentions of specific Kolkata locations/projects (Hastings, Rajarhat, Maheshtala, Lake Town, Ballygunge), and references to the ""city of Kolkata"" are present.

3.  **""homes""**: The content is highly relevant to this part of the keyword. The text discusses ""homes"", ""residential real estate"", ""residential projects"", ""flats"", and ""villas"". Purti Realty is presented as a builder of homes.

4.  **""vaastu compliant""**: The content is **not relevant** to this crucial part of the keyword. A thorough scan of the provided text sample reveals **no mention** of ""vaastu"", ""vastu"", ""vaastu compliant"", or any related terms or concepts pertaining to traditional Indian architectural principles.

**Overall Relevance Assessment:**

The content is highly relevant to *Purti Realty's residential properties in Kolkata*. However, it completely lacks any information regarding *vaastu compliance*.

For the specific keyword phrase ""vaastu compliant homes in kolkata purti"", the content is **partially relevant but significantly lacking**. The missing ""vaastu compliant"" element is a key qualifier in the user's search intent. A user searching for this phrase is specifically looking for properties that adhere to Vastu Shastra principles, and this content does not address that specific requirement at all.

This page would likely rank for broader terms like ""Purti homes Kolkata"" or ""Purti Realty Kolkata"", but it is highly unlikely to rank well or satisfy the user's intent for the specific, qualified search ""vaastu compliant homes in kolkata purti""."
5,luxury villas near durgapur expressway purti,0.0009425522703583615,0.4029920902551533,"Based on the content sample provided and the keyword ""luxury villas near durgapur expressway purti"", here's an analysis of the relevance:

1.  **Purti:** The content is *highly* relevant to ""Purti"". The company name ""Purti Realty"" and ""Purti Group"" appears numerous times throughout the text. This element of the keyword is perfectly matched.

2.  **Luxury Villas:** The content is relevant to ""luxury villas"":
    *   The page titled ""Buy Luxurious Flats & Villas in Kolkata"" explicitly mentions ""Luxurious Flats & Villas"".
    *   The Awards section lists multiple awards for ""Villa Project Of The Year"" and specifically ""Luxury Villa Project Of The Year (East) – Meraki"".
    *   The ""About Us"" section mentions the group's entry into ""luxury real estate with Meraki Samsara"".
    *   One of the featured projects is titled ""Samsara, Durgapur Expressway"" and is described as a ""Second Home Project Of The Year – Meraki"" and ""Residential Project (Villas) – Meraki"" in the awards section. The price point (""Starting from 4.16 Cr"") also suggests a luxury offering.

3.  **Near Durgapur Expressway:** The content is *highly* relevant to ""near durgapur expressway"":
    *   One of the listed featured projects is ""Samsara, Durgapur Expressway"". Listing a project *at* ""Durgapur Expressway"" directly addresses the geographical component of the search query, strongly implying it is either on or very near the expressway.

**Conclusion:**

The provided content is **highly relevant** to the keyword phrase ""luxury villas near durgapur expressway purti"".

*   It clearly identifies ""Purti"" as the developer.
*   It mentions ""luxury"" properties and specifically ""villas"" as offerings.
*   It explicitly lists a specific project called ""Samsara"" which is identified as a ""Luxury Villa Project"" (via awards and description of ""Meraki Samsara"") and is located *at* ""Durgapur Expressway"".

The content directly answers the user's likely intent: finding luxury villas developed by Purti located near the Durgapur Expressway."
6,purti realty under construction flats lake town,0.0009337842495388031,0.2188268432572427,"**Keyword Relevance Analysis:**

Based on the provided content sample, the keywords ""purti realty under construction flats lake town"" are **Highly Relevant**.

Here's a breakdown:

1.  **Purti Realty:** This is the core of the content. The entire sample is about Purti Realty, its history, values, projects, and services. The company name is mentioned numerous times throughout the text, navigation, and headings.
2.  **Lake Town:** The location ""Lake Town"" is explicitly mentioned in the ""Featured Projects"" section as the location for a specific project: ""Lake Town, Jessore Road"".
3.  **Under Construction:** The status ""Under Construction"" is also explicitly associated with the ""Lake Town, Jessore Road"" project in the ""Featured Projects"" section.
4.  **Flats:** While the term ""flats"" appears in the overall heading ""Buy Luxurious Flats & Villas in Kolkata - 3, 4 & 5 BHK"", the projects listed are described as ""Homes"" or fall under the ""Purti Homes"" brand. The mention of ""3, 4 & 5 BHK"" clearly indicates residential units, which are commonly referred to as flats or apartments. The context strongly implies residential properties like flats.

**Conclusion:**

The content directly addresses the user's query by featuring a specific Purti Realty project located in Lake Town that is explicitly stated as being ""Under Construction"" and offering residential units (implied as flats/homes through context like ""Purti Homes"" and ""3, 4 & 5 BHK""). This makes the content highly relevant for someone searching for ""purti realty under construction flats lake town""."
7,warehouse development management kolkata,0.000759109354527639,0.4811667320766766,"Based on the provided content sample and the keywords ""warehouse development management kolkata"", here's an analysis of the relevance:

1.  **""Kolkata"":** Highly relevant. The company explicitly identifies itself as a real estate company in Kolkata multiple times (""Best Real Estate Company in Kolkata"", ""Top Real Estate Companies in Kolkata"", project locations in Kolkata like Hastings, Rajarhat, Maheshtala, Ballygunge, Lake Town, Panihati). Their operations are clearly centered in Kolkata.

2.  **""Development"":** Highly relevant. ""Development"" is a core concept throughout the content, referring to real estate development in various forms (residential, commercial, retail, infrastructure). The company offers ""Property Development"" and ""Development Management"" as services under the ""Invest With Us"" section. They also discuss their history of ""development"" and ""transformative projects"".

3.  **""Warehouse"":** Relevant. The content explicitly mentions ""Warehouses"" as a business area. In the ""Legacy"" section, it states ""2014 Introducing Warehouses. Commenced the warehousing business."" More importantly, under the ""Invest With Us"" section, there is a specific heading for ""Warehouse"" where they state, ""Integrating innovative approaches with our unwavering commitment to excellence, we specialise in building warehouses within industrial spaces.""

4.  **""Management"":** Relevant, specifically in the context of ""Development Management"". The content lists ""Development Management"" as a service under ""Invest With Us"". While this is general project management, it applies to managing development projects, which could include warehouses.

5.  **Combination ""warehouse development management kolkata"":** This is where the relevance is most direct and notable.
    *   The **exact phrase ""Warehouse Development Management""** appears as a distinct list item or header within the ""Invest With Us"" section. This is a strong indicator of direct relevance for this specific service combination.
    *   The location **""Kolkata""** is consistently associated with the company's real estate activities, including implicitly the ""warehousing business"" and the building of ""warehouses within industrial spaces"" which would be within their service area (Kolkata and East India, as mentioned).

**Overall Relevance Assessment:**

The content has **moderate to high relevance** to the keywords ""warehouse development management kolkata"".

*   It clearly establishes the company's presence in **Kolkata**.
*   It details their expertise in **Development** (property development, development management).
*   It explicitly mentions **Warehouses** as a part of their business and services (building warehouses).
*   Crucially, the specific phrase **""Warehouse Development Management""** is *present* in the content, indicating that this is a service offered.

While the *detailed descriptions* under the ""Warehouse"" and ""Development Management"" sections are somewhat brief and generic, the explicit mention of the compound phrase ""Warehouse Development Management"" and the presence of all individual components (""warehouse"", ""development"", ""management"", ""kolkata"") within the content make it relevant to this specific search query. A user searching for this term would find relevant information about the company's location and its services that directly align with the keywords, particularly within the ""Invest With Us"" section."
8,buy 3bhk flat in rajarhat kolkata,0.000863643004809755,1.0597766284503158,"Based on the analysis of the content sample provided against the keywords ""buy 3bhk flat in rajarhat kolkata"":

1.  **""buy"":** The content is from ""Purti Realty"", a real estate company, and includes sections like ""Find Your Homes"", ""INVEST WITH US"", ""Property Investment Company Kolkata"", and page titles like ""Buy Luxurious Flats & Villas in Kolkata"". This clearly indicates the content is related to purchasing property.
2.  **""3bhk flat"":** The page title is ""Buy Luxurious Flats & Villas in Kolkata- 3, 4 & 5 BHK"". This explicitly mentions ""Flats"" and the specific configuration ""3, 4 & 5 BHK"", directly addressing the property type and size component of the keyword.
3.  **""in rajarhat kolkata"":** The ""Featured Projects"" section lists a project located in ""Rajarhat, Kolkata"". This directly addresses the specific location mentioned in the keyword.

**Conclusion:**

The provided content sample is **highly relevant** to the keywords ""buy 3bhk flat in rajarhat kolkata"". It directly addresses all three components of the search query:
*   It is a real estate company page focused on the **purchase** of property.
*   It explicitly mentions offering **flats** and specifically lists **3, 4 & 5 BHK** options.
*   It lists a project specifically located in **Rajarhat, Kolkata**.

Therefore, this content is well-aligned with a user searching for 3BHK flats for sale in the Rajarhat area of Kolkata."
9,commercial office properties purti realty,0.0008450795437090942,0.876968235329765,"Based on the content sample provided and the keywords ""commercial office properties purti realty"", here's an analysis of relevance:

1.  **""Purti Realty""**: Highly relevant. The content is clearly *about* Purti Realty, mentioning the company name multiple times, detailing its history, legacy, awards, values, team, and various activities.

2.  **""properties""**: Highly relevant. The content discusses real estate, homes, projects, spaces (Retail, Office), investments, and property development, which are all forms of properties.

3.  **""commercial""**: Relevant. The content explicitly mentions ""Commercial and Residential Projects"" in the Legacy section (under 2005 entry) and discusses the ""purchase of residential and commercial property"" in the NRI investment section. It also mentions ""commercial spaces"" in the context of market growth. This confirms Purti Realty operates in the commercial sector.

4.  **""office""**: Relevant. The content includes navigation links and mentions like:
    *   ""Office Hasting Office Corporate"" (appears multiple times in nav and potentially as a project name).
    *   ""Purti Office"" (appears in navigation and lists of Purti's segments/brands).
    *   ""Find Your Homes Office"" (in navigation).

**Overall Relevance:**

The content is **highly relevant** to the keyword phrase ""commercial office properties purti realty"".

*   It is explicitly about **Purti Realty**.
*   It deals with **properties**.
*   It confirms that Purti Realty handles **commercial** projects and properties.
*   It specifically mentions ""Office"" as a type of property or project segment they offer (""Purti Office"", ""Office Hasting Office Corporate"").

While the content sample provided seems to cover various aspects of Purti Realty's business (residential, retail, community, etc.), it directly includes elements that confirm their involvement with ""commercial office properties"", making it relevant to this specific search query. A user searching for this phrase would find this content relevant as it establishes that Purti Realty operates in the commercial office space, even if it doesn't provide detailed listings or descriptions *within this specific sample*. The presence of navigation links and explicit mentions confirms their offering in this area."
